Date,Rank,Points,Rider,Team,Year,Race,UCI Class,Type,Code,Series,Race days,UCI Category,Classification
26-Jan-20,38,10,BARDET Romain,AG2R Citroen Team,2020,Santos Tour Down Under,2.UWT,Stage Race,Tier 3 GC,WorldTour,6,Tier 3,GC
23-Feb-20,2,85,BARDET Romain,AG2R Citroen Team,2020,Tour des Alpes Maritimes et du Var,2.1,Stage Race,C1 GC,Other,3,2.1,GC
1-Mar-20,13,20,BARDET Romain,AG2R Citroen Team,2020,Royal Bernard Drome Classic,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
15-Mar-20,19,30,BARDET Romain,AG2R Citroen Team,2020,Paris-Nice,2.UWT,Stage Race,Tier 3 GC,WorldTour,8,Tier 3,GC
4-Aug-20,8,30,BARDET Romain,AG2R Citroen Team,2020,La Route d'Occitanie - La Dépêche du Midi,2.1,Stage Race,C1 GC,Other,4,2.1,GC
16-Aug-20,6,175,BARDET Romain,AG2R Citroen Team,2020,Critérium du Dauphiné,2.UWT,Stage Race,Tier 3 GC,WorldTour,8,Tier 3,GC
23-Aug-20,10,3,BARDET Romain,AG2R Citroen Team,2020,Championnats Nationaux Route - France (ME-WE),CN,Championships,CN ME RR,Other,1,CN,ME RR
7-Oct-20,27,5,BARDET Romain,AG2R Citroen Team,2020,De Brabantse Pijl - La Flèche Brabançonne,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
11-Oct-20,7,60,BARDET Romain,AG2R Citroen Team,2020,Paris - Tours Elite,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
18-Oct-20,25,20,BARDET Romain,AG2R Citroen Team,2020,Ronde van Vlaanderen - Tour des Flandres,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
2-Feb-20,1,125,COSNEFROY Benoit,AG2R Citroen Team,2020,Grand Prix Cycliste la Marseillaise,1.1,One Day,C1 GC,Other,1,1.1,GC
5-Feb-20,2,5,COSNEFROY Benoit,AG2R Citroen Team,2020,Etoile de Bessèges,2.1,Stage Race,C1 SC,Other,,2.1,SC
8-Feb-20,1,3,COSNEFROY Benoit,AG2R Citroen Team,2020,Etoile de Bessèges,2.1,Stage Race,C1 SGC,Other,,2.1,SGC
9-Feb-20,1,125,COSNEFROY Benoit,AG2R Citroen Team,2020,Etoile de Bessèges,2.1,Stage Race,C1 GC,Other,5,2.1,GC
23-Feb-20,18,3,COSNEFROY Benoit,AG2R Citroen Team,2020,Tour des Alpes Maritimes et du Var,2.1,Stage Race,C1 GC,Other,3,2.1,GC
29-Feb-20,39,3,COSNEFROY Benoit,AG2R Citroen Team,2020,Faun-Ardèche Classic,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
1-Mar-20,5,85,COSNEFROY Benoit,AG2R Citroen Team,2020,Royal Bernard Drome Classic,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
4-Aug-20,1,14,COSNEFROY Benoit,AG2R Citroen Team,2020,La Route d'Occitanie - La Dépêche du Midi,2.1,Stage Race,C1 SC,Other,,2.1,SC
26-Aug-20,10,50,COSNEFROY Benoit,AG2R Citroen Team,2020,UEC Road European Championships,CC,Championships,CC ME RR,Other,1,CC,ME RR
30-Sep-20,2,320,COSNEFROY Benoit,AG2R Citroen Team,2020,La Flèche Wallonne,2.UWT,One Day,Tier 4 GC,WorldTour,1,Tier 4,GC
