Category	Class	Country	Dates	Race
Men Elite	CRTP - Pro Criterium	Monaco	28-Nov-21	MONACO BIKING
Men Under 23	1.2 - 1 day - Class 2	Colombia	01 Dec - 03 Dec 2021	Pan American Youth Games
Women Under 23	1.2 - 1 day - Class 2	Colombia	01 Dec - 03 Dec 2021	Pan American Youth Games
Men Elite	2.1 - Stages - Class 1	Thailand	01 Dec - 06 Dec 2021	The Princess Maha Chakri Sirindhorn's Cup Tour of Thailand
Women Elite	2.2 - Stages - Class 2	Thailand	08 Dec - 10 Dec 2021	The Princess Maha Chackri Sirindhorn's Cup "Women's Tour of Thailand"
Men Elite	2.2 - Stages - Class 2	Ecuador	08 Dec - 15 Dec 2021	Vuelta Ciclista al Ecuador
Men Elite	2.2 - Stages - Class 2	Mauritania	14 Dec - 18 Dec 2021	Tour du Sahel
Men Elite	2.2 - Stages - Class 2	Malaysia	15 Dec - 19 Dec 2021	Jelajah Malaysia
Men Junior	CN - National Championships	Myanmar	16 Dec - 17 Dec 2021	National Road Championships - Myanmar
Men Elite	CN - National Championships	Morocco	17 Dec - 19 Dec 2021	National Road Championships - Marocco
Men Elite	CN - National Championships	Uruguay	18-Dec-21	National Road Championships - Uruguay (ITT)
Men Elite	2.2 - Stages - Class 2	New Zealand	05 Jan - 09 Jan 2022	New Zealand Cycle Classic
Women Elite	2.2 - Stages - Class 2	Malaysia	05 Jan - 10 Jan 2022	Le Tour de Femina Malaysia
Men Elite	CN - National Championships	Australia	12 Jan - 16 Jan 2022	National Road Championships - Australia
Men Elite	2.Pro - Stages - ProSeries	Malaysia	16 Jan - 23 Jan 2022	Le Tour de Langkawi
Men Elite	2.2 - Stages - Class 2	Venezuela	16 Jan - 23 Jan 2022	Vuelta al Tachira en Bicicleta
Men Elite	2.1 - Stages - Class 1	Gabon	17 Jan - 23 Jan 2022	La Tropicale Amissa Bongo
Men Elite	1.2 - 1 day - Class 2	Kuwait	19-Jan-22	KUWAIT CHALENGE 1
Men Elite	1.2 - 1 day - Class 2	Kuwait	21-Jan-22	KUWAIT CYCLING LEAGUE 1
Men Elite	1.2 - 1 day - Class 2	Kuwait	22-Jan-22	KUWAIT CYCLING LEAGUE 2
